id,桶(bucket),问题(query),期望章节(expect_section),标准要点(expect_points),应拒答(should_refuse)
D25,D_absent,能在你们这儿买宠物保险吗,,,是
D26,D_absent,旧的饮水机能回收折价吗,,,是
D27,D_absent,有没有上门代喂猫的服务,,,是
D28,D_absent,能不能指定送货上门的具体时间段,,,是
D29,D_absent,支不支持夜间配送,,,是
D30,D_absent,"能寄到日本吗,有没有国际快递",,,是
D31,D_absent,有没有英文客服能接待外国人,,,是
D32,D_absent,平板版的 App 在哪儿下载,,,是
D33,D_absent,"你们有直播间吗,直播下单更便宜吗",,,是
D34,D_absent,"现在有抽奖活动吗,怎么才能中奖",,,是
D35,D_absent,有没有明星联名款的猫窝,,,是
D36,D_absent,你们提供宠物寄养服务吗,,,是
D37,D_absent,有没有猫咪行为训练课程可以报名,,,是
D38,D_absent,"能推荐一款驱虫药吗,用哪个牌子好",,,是
D39,D_absent,商品的质检报告能发一份给我看吗,,,是
D40,D_absent,你们做不做企业定制礼盒,,,是
D41,D_absent,能给我一份批发价目表吗,,,是
D42,D_absent,有没有校园代理这种项目,,,是
D43,D_absent,能不能对接你们的 API 拿订单数据,,,是
D44,D_absent,能导出我全年的消费明细表格吗,,,是
D45,D_absent,你们的客服机器人是自己研发的吗,,,是
D46,D_absent,能帮我预约猫的绝育手术吗,,,是
D47,D_absent,有没有二手商品专区,,,是
D48,D_absent,"有没有以租代买的方案,设备能租吗",,,是
D49,D_absent,我发的商品评价能删掉吗,,,是
D50,D_absent,能不能先寄个样品给我试用,,,是
D51,D_absent,你们的猫粮是哪个工厂代工的,,,是
D52,D_absent,App 能不能同步苹果健康的数据,,,是
D53,D_absent,你们参加线下宠物展会吗,,,是
D54,D_absent,能预约给猫拍写真吗,,,是
D55,D_absent,会员身份能转让给朋友用吗,,,是
D56,D_absent,有没有保税仓的跨境直邮,,,是
D57,D_absent,公司团建礼品有方案吗,,,是
D58,D_absent,你们做宠物殡葬这类服务吗,,,是
D59,D_absent,能帮我看看我家猫是什么品种吗,,,是
D60,D_absent,"我想在你们平台开店卖东西,怎么入驻",,,是

